bulk_id,facet,slab_id
zo9p9en4n3,101,kisonosi_86
zo9p9en4n3,314,sokureve_48
zo9p9en4n3,111,wololako_55
c1mkzq9kc4,011,rolanoga_46
c1mkzq9kc4,110,tukebehe_82
c1mkzq9kc4,010,rifadabi_41
c1mkzq9kc4,100,tegivave_67
c1mkzq9kc4,214,damasemi_58
c1mkzq9kc4,001,fibirake_48
c1mkzq9kc4,101,siwobowu_88
c1mkzq9kc4,314,nuhahiri_71
c1mkzq9kc4,111,katipeva_00
mkbj6e6e9p,011,pafawome_47
mkbj6e6e9p,110,lihakoba_79
mkbj6e6e9p,010,sodakiva_90
mkbj6e6e9p,100,hesakite_49
mkbj6e6e9p,001,gorirera_06
mkbj6e6e9p,101,pofarawi_12
mkbj6e6e9p,111,defokate_20
cy94mecq6g,011,wuhudevo_45
cy94mecq6g,110,pupebudi_75
cy94mecq6g,010,fogalonu_46
cy94mecq6g,100,bebodira_65
cy94mecq6g,214,sanegume_37
cy94mecq6g,001,dupinide_41
cy94mecq6g,101,pufatigi_26
cy94mecq6g,314,sihamasa_88
cy94mecq6g,111,kurunalo_76
vtnfnrbh6s,011,pakuhari_15
vtnfnrbh6s,110,vofahipe_87
vtnfnrbh6s,010,hivevolo_16
vtnfnrbh6s,100,rorutira_42
vtnfnrbh6s,214,wupomano_08
vtnfnrbh6s,001,saborume_16
vtnfnrbh6s,101,hurudufa_02
vtnfnrbh6s,314,vilarito_52
vtnfnrbh6s,111,resubove_68
6pvt6r95ve,011,pifuraha_94
6pvt6r95ve,110,dapepafa_81
6pvt6r95ve,010,vurodusi_56
6pvt6r95ve,100,gifopira_28
